belief,plausibility
0.0,1.0
0.11519198664440738,1.0
0.19889502762430938,1.0
0.28118396071354296,1.0
0.3339689573237659,1.0
0.386486585181351,1.0
0.42170506126386986,1.0
0.4500704659848535,1.0
0.4733016860826861,1.0
0.5015599192208223,1.0
0.5185052087200611,1.0
0.5328488817081385,1.0
0.5451103328278476,1.0
0.5556830187451917,1.0
0.5717872754132701,1.0
0.5800633037843889,1.0
0.5873374669314073,1.0
0.5992152598318604,1.0
0.6050835279839861,1.0
0.6147508869866656,1.0
0.6232291240817636,1.0
0.6276787485682735,1.0
0.6347544152486118,1.0
0.641058888110477,1.0
0.6445417759578851,1.0
0.6477116707409377,1.0
0.650605650309501,1.0
0.6532553756143106,1.0
0.6556880258987249,1.0
0.6601623211771848,1.0
0.6622751662294828,1.0
0.6642281694868643,1.0
0.6660372893512385,1.0
0.667716515659048,1.0
0.6712209170253403,1.0
0.6727050654264668,1.0
0.6740898632429688,1.0
0.6753840941892181,1.0
0.6783106735815583,1.0
0.6794675478487987,1.0
0.6805534503959471,1.0
0.6831129615293458,1.0
0.6840907898644782,1.0
0.6850121302545936,1.0
0.6858812972771586,1.0
0.6867021973119046,1.0
0.6874783744301786,1.0
0.6882130503286634,1.0
0.6889091591810098,1.0
