belief,plausibility
0.0,1.0
0.0,0.8405458868164715
0.0,0.7168010422763921
0.0,0.7276895903413972
0.0,0.6222630288151872
0.0,0.5520555204249621
0.0,0.4781038861705703
0.0,0.43151722982416396
0.0,0.45447743745531843
0.0,0.4112849991498131
0.0,0.43932237332516355
0.0,0.40262116170318685
0.0,0.3737495140812921
0.0,0.3505476663788455
0.0,0.3311933318443895
0.0,0.3148405482481995
0.0,0.3015921634775356
0.0,0.3257514931957213
0.0,0.34209243107732523
0.0,0.3308125481785513
0.0,0.351013244721773
0.0,0.3683220673865687
0.0,0.3856123152661113
0.0,0.37329887411275264
0.0,0.36541974587301707
0.0,0.3583700417307554
0.0,0.3718582533454877
0.0,0.3656786295555584
0.0,0.35991842046805433
0.0,0.35204943943568323
0.0,0.34715853397386853
0.0,0.34269248329096524
0.0,0.3386016499594482
0.0,0.33484365086279133
0.0,0.3313820923817734
0.0,0.32818556007999233
0.0,0.32446923690753415
0.0,0.33257376613480827
0.0,0.3270118372055677
0.0,0.32096945125579734
0.0,0.33011629742528603
0.0,0.3271644118508794
0.0,0.3248473961774011
0.0,0.3226790733767536
0.0,0.32064660743998097
0.0,0.3187385526188182
0.0,0.31633223183369463
0.0,0.31460100191441553
0.0,0.32280682214220513
