belief,plausibility
0.0,1.0
0.0,0.8405458868164715
0.0,0.700302653333793
0.0,0.5937656556922436
0.0,0.5042403598838114
0.0,0.4344163288805386
0.0,0.37556005729776454
0.0,0.32868450928035553
0.0,0.29056847236565353
0.0,0.25909298257684443
0.0,0.23275754231186563
0.0,0.2020107929967624
0.0,0.17762794076618493
0.0,0.15633482859656034
0.0,0.14114545083691143
0.0,0.12827604581644414
0.0,0.11800261384288024
0.0,0.10901866930233806
0.0,0.09865580977007704
0.0,0.09102924944352675
0.0,0.08435007067827405
0.0,0.07881638663326762
0.0,0.07348482903138787
0.0,0.0690114773528302
0.0,0.0649797488349434
0.0,0.06028522808737902
0.0,0.05700526222536262
0.0,0.05374898410769091
0.0,0.05101427778206513
0.0,0.04851105598729355
0.0,0.045997795003501984
0.0,0.04387920406380963
0.0,0.0419256644888274
0.0,0.04012005569026467
0.0,0.03844746586472625
0.0,0.03672485282869831
0.0,0.035280409449334194
0.0,0.033934939988119805
0.0,0.03267941621472403
0.0,0.03150583492597492
0.0,0.03027326349019388
0.0,0.029243606559177127
0.0,0.028276963290935098
0.0,0.027256666330655155
0.0,0.026401767736393134
0.0,0.02559612063212402
0.0,0.02474194241310501
0.0,0.02402436788657325
0.0,0.023345845427963252
