belief,plausibility
0.0,1.0
0.0,0.8405458868164715
0.0,0.700302653333793
0.12914840546049483,0.7115702907903333
0.12567026793048328,0.6205366601918152
0.12296006635805466,0.5496022918227838
0.12080094865571948,0.4930914949847852
0.11904913648816264,0.44724114537574267
0.11275473578645234,0.3925745656842313
0.10788465982329824,0.3502781806334453
0.10626897140388994,0.3235517078810458
0.10121646011761247,0.2904351872546188
0.09777891105616884,0.26562573804100964
0.09494885071515839,0.24520065114137357
0.09366791731286983,0.23080502316747709
0.09256049721538628,0.21835940522535224
0.09159565874855619,0.20751617512566456
0.09074923207121065,0.19800370278910306
0.09000207711179013,0.189606884644262
0.08681347724573288,0.17700433649452518
0.08438651894465327,0.16688001314249
0.08265463958421225,0.15885316749134615
0.0820703710301308,0.15356993308369482
0.08059885036448199,0.14708586440913385
0.07850950230458889,0.13994613298571867
0.07682987644723659,0.13396397792553272
0.07568354996613881,0.1292570454240125
0.07523395804757853,0.12600686700438135
0.07423506632829327,0.12207046459640891
0.07383675231997332,0.1193309626001614
0.0729587825959551,0.11600116517627279
0.07260354754336641,0.11366899375418027
0.07227590265700011,0.11151795591315106
0.0715171893713728,0.1088356769708444
0.07082274168174461,0.10638059617852247
0.07053557904507907,0.10464649580459717
0.07026865499495619,0.10303461098384736
0.07002006946064034,0.10153346768395666
0.06942414385734959,0.09961066027675214
0.06813226532718082,0.0967797916584453
0.06708617502656301,0.09438763937065775
0.06658596743912178,0.09283580162455796
0.06638263586684627,0.09175424046437841
0.06619163345570599,0.09073826056967693
0.06601196324121984,0.08978255888766729
0.06522136827051658,0.08804358061695627
0.06479920751984054,0.0868486996222465
0.06440371494820078,0.0857293000649818
0.06403260421881624,0.08467891071266886
