belief,plausibility
0.0,1.0
0.0,0.8848080133555927
0.0,0.8011049723756907
0.0,0.7188160392864571
0.0,0.6660310426762341
0.0,0.613513414818649
0.0,0.5782949387361301
0.0,0.5499295340151464
0.0,0.5266983139173139
0.0,0.4984400807791777
0.0,0.4814947912799389
0.0,0.4671511182918615
0.0,0.4548896671721524
0.0,0.44431698125480834
0.0,0.4282127245867299
0.0,0.41993669621561114
0.0,0.4126625330685927
0.0,0.4007847401681396
0.0,0.3949164720160139
0.0,0.3852491130133344
0.0,0.37677087591823644
0.0,0.37232125143172645
0.0,0.36524558475138824
0.0,0.35894111188952305
0.0,0.3554582240421149
0.0,0.3522883292590623
0.0,0.349394349690499
0.0,0.3467446243856894
0.0,0.3443119741012751
0.0,0.33983767882281524
0.0,0.3377248337705172
0.0,0.33577183051313575
0.0,0.3339627106487615
0.0,0.332283484340952
0.0,0.32877908297465974
0.0,0.3272949345735332
0.0,0.3259101367570312
0.0,0.3246159058107819
0.0,0.3216893264184417
0.0,0.3205324521512013
0.0,0.31944654960405294
0.0,0.31688703847065425
0.0,0.31590921013552176
0.0,0.3149878697454064
0.0,0.31411870272284137
0.0,0.3132978026880954
0.0,0.31252162556982144
0.0,0.3117869496713366
0.0,0.3110908408189902
