numActors,numObservers,numNorms,flatness,lifetime,sanctionRate,probIgnorance,propMissing,sensorReliability,masterSeed,ff,fp,fo,pf,pp,po,of,op,oo,sizeFocalSet
100,1,5,0.1,25,0.1,0.1,0.1,0.5,3606583550409695621,3,0,0,0,1,0,0,1,0,16
100,1,5,0.1,25,0.1,0.1,0.1,0.99,3606583550409695621,2,1,0,0,1,0,1,0,0,16
100,1,5,0.1,25,0.1,0.1,0.9,0.5,3606583550409695621,2,1,0,1,0,0,0,1,0,12
100,1,5,0.1,25,0.1,0.1,0.9,0.99,3606583550409695621,3,0,0,1,0,0,1,0,0,13
100,1,5,0.1,25,0.1,0.9,0.1,0.5,3606583550409695621,3,0,0,0,1,0,0,1,0,17
100,1,5,0.1,25,0.1,0.9,0.1,0.99,3606583550409695621,2,1,0,1,0,0,0,1,0,19
100,1,5,0.1,25,0.1,0.9,0.9,0.5,3606583550409695621,1,2,0,0,1,0,1,0,0,16
100,1,5,0.1,25,0.1,0.9,0.9,0.99,3606583550409695621,0,3,0,0,1,0,0,1,0,19
100,1,5,0.1,25,1.0,0.1,0.1,0.5,3606583550409695621,3,0,0,1,0,0,0,0,1,2
100,1,5,0.1,25,1.0,0.1,0.1,0.99,3606583550409695621,3,0,0,0,1,0,0,0,1,5
100,1,5,0.1,25,1.0,0.1,0.9,0.5,3606583550409695621,3,0,0,0,1,0,0,0,1,4
100,1,5,0.1,25,1.0,0.1,0.9,0.99,3606583550409695621,3,0,0,0,1,0,0,0,1,3
100,1,5,0.1,25,1.0,0.9,0.1,0.5,3606583550409695621,3,0,0,0,1,0,0,0,1,9
100,1,5,0.1,25,1.0,0.9,0.1,0.99,3606583550409695621,3,0,0,0,1,0,0,0,1,10
100,1,5,0.1,25,1.0,0.9,0.9,0.5,3606583550409695621,1,2,0,0,1,0,0,0,1,11
100,1,5,0.1,25,1.0,0.9,0.9,0.99,3606583550409695621,2,1,0,0,1,0,0,0,1,11
100,1,5,0.1,50,0.1,0.1,0.1,0.5,3606583550409695621,2,1,0,1,0,0,0,1,0,17
100,1,5,0.1,50,0.1,0.1,0.1,0.99,3606583550409695621,3,0,0,1,0,0,0,1,0,21
100,1,5,0.1,50,0.1,0.1,0.9,0.5,3606583550409695621,3,0,0,0,1,0,0,1,0,18
100,1,5,0.1,50,0.1,0.1,0.9,0.99,3606583550409695621,2,1,0,0,1,0,0,1,0,19
100,1,5,0.1,50,0.1,0.9,0.1,0.5,3606583550409695621,3,0,0,1,0,0,0,1,0,30
100,1,5,0.1,50,0.1,0.9,0.1,0.99,3606583550409695621,3,0,0,0,1,0,0,1,0,31
100,1,5,0.1,50,0.1,0.9,0.9,0.5,3606583550409695621,0,3,0,0,1,0,0,1,0,23
100,1,5,0.1,50,0.1,0.9,0.9,0.99,3606583550409695621,0,3,0,0,1,0,0,1,0,21
100,1,5,0.1,50,1.0,0.1,0.1,0.5,3606583550409695621,3,0,0,0,1,0,0,0,1,4
100,1,5,0.1,50,1.0,0.1,0.1,0.99,3606583550409695621,3,0,0,0,1,0,0,0,1,5
100,1,5,0.1,50,1.0,0.1,0.9,0.5,3606583550409695621,3,0,0,0,1,0,0,0,1,4
100,1,5,0.1,50,1.0,0.1,0.9,0.99,3606583550409695621,3,0,0,0,1,0,0,0,1,6
100,1,5,0.1,50,1.0,0.9,0.1,0.5,3606583550409695621,3,0,0,0,1,0,0,0,1,12
100,1,5,0.1,50,1.0,0.9,0.1,0.99,3606583550409695621,3,0,0,1,0,0,0,0,1,15
100,1,5,0.1,50,1.0,0.9,0.9,0.5,3606583550409695621,2,1,0,0,1,0,0,1,0,14
100,1,5,0.1,50,1.0,0.9,0.9,0.99,3606583550409695621,3,0,0,0,1,0,0,0,1,15
100,1,5,0.1,100,0.1,0.1,0.1,0.5,3606583550409695621,3,0,0,1,0,0,1,0,0,22
100,1,5,0.1,100,0.1,0.1,0.1,0.99,3606583550409695621,3,0,0,1,0,0,1,0,0,27
100,1,5,0.1,100,0.1,0.1,0.9,0.5,3606583550409695621,3,0,0,0,1,0,0,1,0,24
100,1,5,0.1,100,0.1,0.1,0.9,0.99,3606583550409695621,2,1,0,1,0,0,0,1,0,33
100,1,5,0.1,100,0.1,0.9,0.1,0.5,3606583550409695621,3,0,0,0,1,0,0,1,0,53
100,1,5,0.1,100,0.1,0.9,0.1,0.99,3606583550409695621,2,1,0,1,0,0,0,1,0,49
100,1,5,0.1,100,0.1,0.9,0.9,0.5,3606583550409695621,0,3,0,0,1,0,0,1,0,44
100,1,5,0.1,100,0.1,0.9,0.9,0.99,3606583550409695621,0,3,0,0,1,0,0,1,0,32
100,1,5,0.1,100,1.0,0.1,0.1,0.5,3606583550409695621,3,0,0,0,1,0,0,0,1,7
100,1,5,0.1,100,1.0,0.1,0.1,0.99,3606583550409695621,3,0,0,0,1,0,0,0,1,8
100,1,5,0.1,100,1.0,0.1,0.9,0.5,3606583550409695621,3,0,0,0,1,0,0,0,1,5
100,1,5,0.1,100,1.0,0.1,0.9,0.99,3606583550409695621,3,0,0,0,1,0,0,0,1,5
100,1,5,0.1,100,1.0,0.9,0.1,0.5,3606583550409695621,3,0,0,1,0,0,0,0,1,17
100,1,5,0.1,100,1.0,0.9,0.1,0.99,3606583550409695621,3,0,0,0,1,0,0,0,1,18
100,1,5,0.1,100,1.0,0.9,0.9,0.5,3606583550409695621,1,2,0,0,1,0,0,1,0,19
100,1,5,0.1,100,1.0,0.9,0.9,0.99,3606583550409695621,3,0,0,0,1,0,0,0,1,16
100,1,5,0.1,500,0.1,0.1,0.1,0.5,3606583550409695621,2,1,0,1,0,0,0,1,0,47
100,1,5,0.1,500,0.1,0.1,0.1,0.99,3606583550409695621,2,1,0,1,0,0,1,0,0,50
100,1,5,0.1,500,0.1,0.1,0.9,0.5,3606583550409695621,2,1,0,0,1,0,0,1,0,39
