numActors,numObservers,numNorms,flatness,lifetime,sanctionRate,probIgnorance,propMissing,sensorReliability,masterSeed,ff,fp,fo,pf,pp,po,of,op,oo,sizeFocalSet
100,1,3,3.0,25,1.0,0.1,0.1,0.99,7079655438494995217,1,0,0,0,0,0,0,0,2,3
100,1,3,3.0,50,1.0,0.1,0.1,0.99,7079655438494995217,1,0,0,0,0,0,0,0,2,5
100,1,3,3.0,100,1.0,0.1,0.1,0.99,7079655438494995217,1,0,0,0,0,0,0,0,2,3
100,1,3,3.0,200,1.0,0.1,0.1,0.99,7079655438494995217,1,0,0,0,0,0,0,0,2,4
100,1,5,3.0,25,1.0,0.1,0.1,0.99,7079655438494995217,2,0,0,0,0,0,0,0,3,4
100,1,5,3.0,50,1.0,0.1,0.1,0.99,7079655438494995217,2,0,0,0,0,0,0,0,3,3
100,1,5,3.0,100,1.0,0.1,0.1,0.99,7079655438494995217,2,0,0,0,0,0,0,0,3,5
100,1,5,3.0,200,1.0,0.1,0.1,0.99,7079655438494995217,2,0,0,0,0,0,0,0,3,8
100,1,10,3.0,25,1.0,0.1,0.1,0.99,7079655438494995217,3,0,0,2,0,0,0,0,5,7
100,1,10,3.0,50,1.0,0.1,0.1,0.99,7079655438494995217,3,0,0,1,1,0,0,0,5,9
100,1,10,3.0,100,1.0,0.1,0.1,0.99,7079655438494995217,3,0,0,1,1,0,0,0,5,11
100,1,10,3.0,200,1.0,0.1,0.1,0.99,7079655438494995217,3,0,0,1,1,0,0,0,5,14
100,1,12,3.0,25,1.0,0.1,0.1,0.99,7079655438494995217,3,0,0,3,1,0,0,0,5,12
100,1,12,3.0,50,1.0,0.1,0.1,0.99,7079655438494995217,3,0,0,3,1,0,0,0,5,15
100,1,12,3.0,100,1.0,0.1,0.1,0.99,7079655438494995217,3,0,0,1,3,0,0,0,5,18
100,1,12,3.0,200,1.0,0.1,0.1,0.99,7079655438494995217,3,0,0,3,1,0,0,0,5,35
100,1,3,3.0,25,1.0,0.1,0.1,0.99,4332013282651135814,1,0,0,0,2,0,0,0,0,6
100,1,3,3.0,50,1.0,0.1,0.1,0.99,4332013282651135814,1,0,0,0,2,0,0,0,0,5
100,1,3,3.0,100,1.0,0.1,0.1,0.99,4332013282651135814,1,0,0,1,1,0,0,0,0,7
100,1,3,3.0,200,1.0,0.1,0.1,0.99,4332013282651135814,1,0,0,0,2,0,0,0,0,7
100,1,5,3.0,25,1.0,0.1,0.1,0.99,4332013282651135814,2,0,0,1,2,0,0,0,0,9
100,1,5,3.0,50,1.0,0.1,0.1,0.99,4332013282651135814,2,0,0,3,0,0,0,0,0,8
100,1,5,3.0,100,1.0,0.1,0.1,0.99,4332013282651135814,2,0,0,1,2,0,0,0,0,12
100,1,5,3.0,200,1.0,0.1,0.1,0.99,4332013282651135814,2,0,0,0,3,0,0,0,0,22
100,1,10,3.0,25,1.0,0.1,0.1,0.99,4332013282651135814,4,0,0,2,2,0,0,0,2,11
100,1,10,3.0,50,1.0,0.1,0.1,0.99,4332013282651135814,4,0,0,4,0,0,0,0,2,15
100,1,10,3.0,100,1.0,0.1,0.1,0.99,4332013282651135814,4,0,0,0,4,0,0,0,2,23
100,1,10,3.0,200,1.0,0.1,0.1,0.99,4332013282651135814,4,0,0,2,2,0,0,0,2,28
100,1,12,3.0,25,1.0,0.1,0.1,0.99,4332013282651135814,6,0,0,2,2,0,0,0,2,17
100,1,12,3.0,50,1.0,0.1,0.1,0.99,4332013282651135814,6,0,0,2,2,0,0,0,2,24
100,1,12,3.0,100,1.0,0.1,0.1,0.99,4332013282651135814,6,0,0,3,1,0,0,0,2,24
100,1,12,3.0,200,1.0,0.1,0.1,0.99,4332013282651135814,6,0,0,1,3,0,0,0,2,40
100,1,3,3.0,25,1.0,0.1,0.1,0.99,4327292949189931884,1,0,0,0,1,0,0,0,1,4
100,1,3,3.0,50,1.0,0.1,0.1,0.99,4327292949189931884,1,0,0,0,1,0,0,0,1,6
100,1,3,3.0,100,1.0,0.1,0.1,0.99,4327292949189931884,1,0,0,0,1,0,0,0,1,4
100,1,3,3.0,200,1.0,0.1,0.1,0.99,4327292949189931884,1,0,0,0,1,0,0,0,1,6
100,1,5,3.0,25,1.0,0.1,0.1,0.99,4327292949189931884,2,0,0,1,0,0,0,0,2,5
100,1,5,3.0,50,1.0,0.1,0.1,0.99,4327292949189931884,2,0,0,1,0,0,0,0,2,4
100,1,5,3.0,100,1.0,0.1,0.1,0.99,4327292949189931884,2,0,0,0,1,0,0,0,2,8
100,1,5,3.0,200,1.0,0.1,0.1,0.99,4327292949189931884,2,0,0,0,1,0,0,0,2,11
100,1,10,3.0,25,1.0,0.1,0.1,0.99,4327292949189931884,3,0,0,0,1,0,0,0,6,4
100,1,10,3.0,50,1.0,0.1,0.1,0.99,4327292949189931884,3,0,0,0,1,0,0,0,6,5
100,1,10,3.0,100,1.0,0.1,0.1,0.99,4327292949189931884,3,0,0,0,1,0,0,0,6,10
100,1,10,3.0,200,1.0,0.1,0.1,0.99,4327292949189931884,3,0,0,0,1,0,0,0,6,11
100,1,12,3.0,25,1.0,0.1,0.1,0.99,4327292949189931884,3,0,0,2,1,0,0,0,6,9
100,1,12,3.0,50,1.0,0.1,0.1,0.99,4327292949189931884,3,0,0,1,2,0,0,0,6,14
100,1,12,3.0,100,1.0,0.1,0.1,0.99,4327292949189931884,3,0,0,0,3,0,0,0,6,14
100,1,12,3.0,200,1.0,0.1,0.1,0.99,4327292949189931884,3,0,0,0,3,0,0,0,6,25
100,1,3,3.0,25,1.0,0.1,0.1,0.99,3164424026262007345,1,0,0,0,1,0,0,0,1,4
100,1,3,3.0,50,1.0,0.1,0.1,0.99,3164424026262007345,1,0,0,0,1,0,0,0,1,6
100,1,3,3.0,100,1.0,0.1,0.1,0.99,3164424026262007345,1,0,0,0,1,0,0,0,1,7
100,1,3,3.0,200,1.0,0.1,0.1,0.99,3164424026262007345,1,0,0,0,1,0,0,0,1,6
100,1,5,3.0,25,1.0,0.1,0.1,0.99,3164424026262007345,2,0,0,0,2,0,0,0,1,6
100,1,5,3.0,50,1.0,0.1,0.1,0.99,3164424026262007345,2,0,0,1,1,0,0,0,1,6
100,1,5,3.0,100,1.0,0.1,0.1,0.99,3164424026262007345,2,0,0,0,2,0,0,0,1,7
100,1,5,3.0,200,1.0,0.1,0.1,0.99,3164424026262007345,2,0,0,0,2,0,0,0,1,12
100,1,10,3.0,25,1.0,0.1,0.1,0.99,3164424026262007345,4,0,0,1,2,0,0,0,3,11
100,1,10,3.0,50,1.0,0.1,0.1,0.99,3164424026262007345,4,0,0,2,1,0,0,0,3,9
100,1,10,3.0,100,1.0,0.1,0.1,0.99,3164424026262007345,4,0,0,1,2,0,0,0,3,17
